Time,IPAddress,Value,Type,Critic,Observe
15:44,fd00::c30c:0:0:2,30.0,temperature,0,0
15:44,fd00::c30c:0:0:2,31.0,temperature,1,1
15:46,fd00::c30c:0:0:2,32.0,temperature,1,2
15:48,fd00::c30c:0:0:2,33.0,temperature,1,3
15:50,fd00::c30c:0:0:2,34.0,temperature,1,4
15:52,fd00::c30c:0:0:2,35.0,temperature,1,5
15:54,fd00::c30c:0:0:2,36.0,temperature,1,6
15:56,fd00::c30c:0:0:2,37.0,temperature,1,7
15:58,fd00::c30c:0:0:2,38.0,temperature,1,8
16:0,fd00::c30c:0:0:2,39.0,temperature,1,9
16:4,fd00::c30c:0:0:2,40.0,temperature,1,10
16:6,fd00::c30c:0:0:2,39.0,temperature,1,11
16:16,fd00::c30c:0:0:2,38.0,temperature,1,12
16:20,fd00::c30c:0:0:2,37.0,temperature,1,13
16:22,fd00::c30c:0:0:2,36.0,temperature,1,14
16:24,fd00::c30c:0:0:2,35.0,temperature,1,15
16:26,fd00::c30c:0:0:2,34.0,temperature,1,16
16:28,fd00::c30c:0:0:2,33.0,temperature,1,17
16:30,fd00::c30c:0:0:2,32.0,temperature,1,18
16:32,fd00::c30c:0:0:2,30.0,temperature,1,19
16:36,fd00::c30c:0:0:2,28.0,temperature,0,20
16:38,fd00::c30c:0:0:2,26.0,temperature,0,21
16:42,fd00::c30c:0:0:2,24.0,temperature,0,22
16:44,fd00::c30c:0:0:2,22.0,temperature,0,23
16:48,fd00::c30c:0:0:2,20.0,temperature,0,24
16:52,fd00::c30c:0:0:2,18.0,temperature,0,25
16:56,fd00::c30c:0:0:2,16.0,temperature,0,26
16:58,fd00::c30c:0:0:2,16.0,temperature,0,27
17:16,fd00::c30c:0:0:2,16.0,temperature,0,28
17:20,fd00::c30c:0:0:2,18.0,temperature,0,29
17:24,fd00::c30c:0:0:2,20.0,temperature,0,30
17:28,fd00::c30c:0:0:2,22.0,temperature,0,31
17:32,fd00::c30c:0:0:2,24.0,temperature,0,32
17:34,fd00::c30c:0:0:2,26.0,temperature,0,33
17:40,fd00::c30c:0:0:2,28.0,temperature,0,34
17:42,fd00::c30c:0:0:2,30.0,temperature,1,35
17:44,fd00::c30c:0:0:2,31.0,temperature,1,36
17:46,fd00::c30c:0:0:2,32.0,temperature,1,37
17:48,fd00::c30c:0:0:2,33.0,temperature,1,38
17:50,fd00::c30c:0:0:2,34.0,temperature,1,39
17:52,fd00::c30c:0:0:2,35.0,temperature,1,40
17:54,fd00::c30c:0:0:2,36.0,temperature,1,41
17:56,fd00::c30c:0:0:2,37.0,temperature,1,42
17:58,fd00::c30c:0:0:2,38.0,temperature,1,43
18:0,fd00::c30c:0:0:2,39.0,temperature,1,44
18:4,fd00::c30c:0:0:2,40.0,temperature,1,45
18:6,fd00::c30c:0:0:2,39.0,temperature,1,46
18:16,fd00::c30c:0:0:2,38.0,temperature,1,47
18:20,fd00::c30c:0:0:2,37.0,temperature,1,48
18:22,fd00::c30c:0:0:2,36.0,temperature,1,49
18:24,fd00::c30c:0:0:2,35.0,temperature,1,50
18:26,fd00::c30c:0:0:2,34.0,temperature,1,51
