Time,IPAddress,Value,Type,Critic,Observe
41:24,fd00::c30c:0:0:2,30.0,temperature,0,0
41:25,fd00::c30c:0:0:2,31.0,temperature,1,1
41:27,fd00::c30c:0:0:2,32.0,temperature,1,2
41:29,fd00::c30c:0:0:2,33.0,temperature,1,3
41:31,fd00::c30c:0:0:2,34.0,temperature,1,4
41:33,fd00::c30c:0:0:2,35.0,temperature,1,5
41:35,fd00::c30c:0:0:2,36.0,temperature,1,6
41:37,fd00::c30c:0:0:2,37.0,temperature,1,7
41:39,fd00::c30c:0:0:2,38.0,temperature,1,8
41:41,fd00::c30c:0:0:2,39.0,temperature,1,9
41:45,fd00::c30c:0:0:2,40.0,temperature,1,10
41:47,fd00::c30c:0:0:2,39.0,temperature,1,11
41:57,fd00::c30c:0:0:2,38.0,temperature,1,12
42:1,fd00::c30c:0:0:2,37.0,temperature,1,13
42:3,fd00::c30c:0:0:2,36.0,temperature,1,14
42:5,fd00::c30c:0:0:2,35.0,temperature,1,15
42:7,fd00::c30c:0:0:2,34.0,temperature,1,16
42:9,fd00::c30c:0:0:2,33.0,temperature,1,17
42:11,fd00::c30c:0:0:2,32.0,temperature,1,18
42:13,fd00::c30c:0:0:2,30.0,temperature,1,19
42:19,fd00::c30c:0:0:2,26.0,temperature,0,20
42:21,fd00::c30c:0:0:2,25.0,temperature,0,21
42:27,fd00::c30c:0:0:2,21.0,temperature,0,22
42:35,fd00::c30c:0:0:2,17.0,temperature,0,23
42:59,fd00::c30c:0:0:2,17.0,temperature,0,24
43:7,fd00::c30c:0:0:2,21.0,temperature,0,25
43:15,fd00::c30c:0:0:2,26.0,temperature,0,26
43:17,fd00::c30c:0:0:2,27.0,temperature,0,27
43:23,fd00::c30c:0:0:2,30.0,temperature,1,28
43:25,fd00::c30c:0:0:2,31.0,temperature,1,29
43:27,fd00::c30c:0:0:2,32.0,temperature,1,30
43:29,fd00::c30c:0:0:2,33.0,temperature,1,31
43:31,fd00::c30c:0:0:2,34.0,temperature,1,32
43:33,fd00::c30c:0:0:2,35.0,temperature,1,33
43:35,fd00::c30c:0:0:2,36.0,temperature,1,34
43:37,fd00::c30c:0:0:2,37.0,temperature,1,35
43:39,fd00::c30c:0:0:2,38.0,temperature,1,36
43:41,fd00::c30c:0:0:2,39.0,temperature,1,37
43:45,fd00::c30c:0:0:2,40.0,temperature,1,38
43:47,fd00::c30c:0:0:2,39.0,temperature,1,39
43:57,fd00::c30c:0:0:2,38.0,temperature,1,40
44:1,fd00::c30c:0:0:2,37.0,temperature,1,41
44:3,fd00::c30c:0:0:2,36.0,temperature,1,42
44:5,fd00::c30c:0:0:2,35.0,temperature,1,43
44:7,fd00::c30c:0:0:2,34.0,temperature,1,44
44:9,fd00::c30c:0:0:2,33.0,temperature,1,45
44:11,fd00::c30c:0:0:2,32.0,temperature,1,46
44:13,fd00::c30c:0:0:2,30.0,temperature,1,47
44:15,fd00::c30c:0:0:2,29.0,temperature,0,48
44:23,fd00::c30c:0:0:2,24.0,temperature,0,49
