Time,IPAddress,Value,Type,Critic,Observe
40:21,fd00::c30c:0:0:2,28.0,temperature,0,0
40:30,fd00::c30c:0:0:2,28.0,temperature,0,1
40:50,fd00::c30c:0:0:2,33.0,temperature,1,2
40:55,fd00::c30c:0:0:2,28.0,temperature,0,3
41:5,fd00::c30c:0:0:2,28.0,temperature,0,4
41:30,fd00::c30c:0:0:2,28.0,temperature,0,5
42:25,fd00::c30c:0:0:2,28.0,temperature,0,6
43:45,fd00::c30c:0:0:2,28.0,temperature,0,7
45:5,fd00::c30c:0:0:2,28.0,temperature,0,8
45:50,fd00::c30c:0:0:2,33.0,temperature,1,9
45:55,fd00::c30c:0:0:2,28.0,temperature,0,10
46:5,fd00::c30c:0:0:2,28.0,temperature,0,11
46:30,fd00::c30c:0:0:2,28.0,temperature,0,12
47:25,fd00::c30c:0:0:2,28.0,temperature,0,13
48:45,fd00::c30c:0:0:2,28.0,temperature,0,14
50:5,fd00::c30c:0:0:2,28.0,temperature,0,15
