Time,IPAddress,Value,Type,Critic,Observe
34:53,fd00::c30c:0:0:2,28.0,temperature,0,0
34:58,fd00::c30c:0:0:2,28.0,temperature,0,1
35:18,fd00::c30c:0:0:2,33.0,temperature,1,2
35:23,fd00::c30c:0:0:2,28.0,temperature,0,3
35:33,fd00::c30c:0:0:2,28.0,temperature,0,4
35:58,fd00::c30c:0:0:2,28.0,temperature,0,5
36:54,fd00::c30c:0:0:2,28.0,temperature,0,6
38:14,fd00::c30c:0:0:2,28.0,temperature,0,7
38:39,fd00::c30c:0:0:2,33.0,temperature,1,8
38:44,fd00::c30c:0:0:2,28.0,temperature,0,9
38:54,fd00::c30c:0:0:2,28.0,temperature,0,10
40:21,fd00::c30c:0:0:2,28.0,temperature,0,0
40:30,fd00::c30c:0:0:2,28.0,temperature,0,1
40:50,fd00::c30c:0:0:2,33.0,temperature,1,2
40:55,fd00::c30c:0:0:2,28.0,temperature,0,3
41:5,fd00::c30c:0:0:2,28.0,temperature,0,4
41:30,fd00::c30c:0:0:2,28.0,temperature,0,5
42:25,fd00::c30c:0:0:2,28.0,temperature,0,6
43:45,fd00::c30c:0:0:2,28.0,temperature,0,7
45:5,fd00::c30c:0:0:2,28.0,temperature,0,8
45:50,fd00::c30c:0:0:2,33.0,temperature,1,9
45:55,fd00::c30c:0:0:2,28.0,temperature,0,10
46:5,fd00::c30c:0:0:2,28.0,temperature,0,11
46:30,fd00::c30c:0:0:2,28.0,temperature,0,12
47:25,fd00::c30c:0:0:2,28.0,temperature,0,13
48:45,fd00::c30c:0:0:2,28.0,temperature,0,14
50:5,fd00::c30c:0:0:2,28.0,temperature,0,15
50:50,fd00::c30c:0:0:2,33.0,temperature,1,16
