Time,IPAddress,Value,Type,Critic,Observe
53:11,fd00::c30c:0:0:2,30.0,temperature,0,0
53:11,fd00::c30c:0:0:2,31.0,temperature,1,1
53:13,fd00::c30c:0:0:2,32.0,temperature,1,2
53:15,fd00::c30c:0:0:2,33.0,temperature,1,3
53:17,fd00::c30c:0:0:2,34.0,temperature,1,4
53:19,fd00::c30c:0:0:2,35.0,temperature,1,5
53:21,fd00::c30c:0:0:2,36.0,temperature,1,6
53:23,fd00::c30c:0:0:2,37.0,temperature,1,7
53:25,fd00::c30c:0:0:2,38.0,temperature,1,8
53:27,fd00::c30c:0:0:2,39.0,temperature,1,9
53:29,fd00::c30c:0:0:2,39.0,temperature,1,10
53:31,fd00::c30c:0:0:2,40.0,temperature,1,11
53:33,fd00::c30c:0:0:2,39.0,temperature,1,12
53:35,fd00::c30c:0:0:2,39.0,temperature,1,13
53:37,fd00::c30c:0:0:2,39.0,temperature,1,14
53:39,fd00::c30c:0:0:2,39.0,temperature,1,15
53:41,fd00::c30c:0:0:2,39.0,temperature,1,16
53:43,fd00::c30c:0:0:2,38.0,temperature,1,17
53:45,fd00::c30c:0:0:2,38.0,temperature,1,18
53:47,fd00::c30c:0:0:2,37.0,temperature,1,19
53:49,fd00::c30c:0:0:2,36.0,temperature,1,20
53:51,fd00::c30c:0:0:2,35.0,temperature,1,21
53:53,fd00::c30c:0:0:2,34.0,temperature,1,22
53:55,fd00::c30c:0:0:2,33.0,temperature,1,23
53:57,fd00::c30c:0:0:2,32.0,temperature,1,24
53:59,fd00::c30c:0:0:2,30.0,temperature,1,25
54:5,fd00::c30c:0:0:2,26.0,temperature,0,26
54:7,fd00::c30c:0:0:2,25.0,temperature,0,27
54:11,fd00::c30c:0:0:2,22.0,temperature,0,28
54:17,fd00::c30c:0:0:2,19.0,temperature,0,29
54:23,fd00::c30c:0:0:2,16.0,temperature,0,30
54:51,fd00::c30c:0:0:2,20.0,temperature,0,31
54:57,fd00::c30c:0:0:2,23.0,temperature,0,32
54:59,fd00::c30c:0:0:2,24.0,temperature,0,33
55:3,fd00::c30c:0:0:2,27.0,temperature,0,34
55:9,fd00::c30c:0:0:2,30.0,temperature,1,35
55:11,fd00::c30c:0:0:2,31.0,temperature,1,36
55:13,fd00::c30c:0:0:2,32.0,temperature,1,37
55:15,fd00::c30c:0:0:2,33.0,temperature,1,38
55:17,fd00::c30c:0:0:2,34.0,temperature,1,39
55:19,fd00::c30c:0:0:2,35.0,temperature,1,40
55:21,fd00::c30c:0:0:2,36.0,temperature,1,41
55:23,fd00::c30c:0:0:2,37.0,temperature,1,42
55:25,fd00::c30c:0:0:2,38.0,temperature,1,43
55:27,fd00::c30c:0:0:2,39.0,temperature,1,44
55:29,fd00::c30c:0:0:2,39.0,temperature,1,45
55:31,fd00::c30c:0:0:2,40.0,temperature,1,46
55:33,fd00::c30c:0:0:2,39.0,temperature,1,47
55:35,fd00::c30c:0:0:2,39.0,temperature,1,48
55:37,fd00::c30c:0:0:2,39.0,temperature,1,49
55:39,fd00::c30c:0:0:2,39.0,temperature,1,50
55:41,fd00::c30c:0:0:2,39.0,temperature,1,51
55:43,fd00::c30c:0:0:2,38.0,temperature,1,52
55:45,fd00::c30c:0:0:2,38.0,temperature,1,53
55:47,fd00::c30c:0:0:2,37.0,temperature,1,54
